hero_id,choice1,choice2,choice3,choice4
1,77,78,38,102
2,78,57,6,66
3,92,57,48,83
4,89,94,91,67
5,66,57,102,70
6,91,32,57,40
7,66,83,57,92
8,102,66,22,42
9,77,83,67,18
10,105,66,40,83
11,42,57,67,38
12,66,40,43,36
13,66,61,91,109
14,57,102,67,36
15,77,6,83,59
16,82,66,57,42
17,66,103,77,45
18,67,57,9,43
19,66,94,38,5
20,32,57,33,91
21,70,57,37,67
22,37,66,102,57
23,58,8,70,88
25,57,107,91,38
26,66,57,36,85
27,66,32,36,57
28,42,66,36,31
29,96,90,61,51
30,57,45,70,85
31,42,32,59,28
32,92,42,31,64
33,83,36,57,43
34,80,83,78,85
35,66,70,102,78
36,67,48,57,88
37,22,92,60,69
38,96,102,32,105
39,57,66,67,83
40,70,102,91,6
41,66,83,48,78
42,103,31,32,102
43,82,57,33,18
44,57,109,28,36
45,52,81,46,71
46,76,45,66,62
47,105,91,6,107
48,67,36,103,70
49,42,100,78,77
50,57,67,92,36
51,70,66,46,96
52,45,109,67,92
53,78,65,92,28
54,94,42,70,109
55,56,28,32,83
56,70,112,67,52
57,105,85,71,22
58,66,23,87,103
59,66,31,37,102
60,37,105,22,70
61,81,91,95,52
62,91,103,67,77
63,48,110,77,6
64,32,110,6,57
65,77,66,83,52
66,58,105,59,82
67,48,81,36,52
68,31,102,36,32
69,37,78,32,67
70,56,66,40,80
71,57,109,36,42
72,67,42,57,66
73,42,32,57,28
74,36,31,42,57
75,105,5,102,67
76,66,46,61,48
77,110,80,15,96
78,57,2,105,37
79,105,94,91,9
80,109,77,70,69
81,67,94,45,70
82,66,43,32,16
83,33,66,70,9
84,83,32,6,5
85,57,94,32,107
86,70,77,57,45
87,92,58,105,67
88,36,109,57,66
89,94,4,83,36
90,102,36,91,52
91,6,62,61,37
92,32,52,37,70
93,67,102,70,78
94,89,102,81,42
95,105,61,92,66
96,77,66,38,105
97,77,8,43,32
98,80,66,57,33
99,28,66,48,5
100,66,102,67,42
101,83,33,78,92
102,22,94,42,100
103,42,62,48,5
104,85,89,57,5
105,66,57,47,10
106,109,48,42,85
107,85,81,83,71
109,80,105,52,71
110,77,38,40,64
111,66,81,31,78
112,56,67,92,57
